"studyName","Topic","Description"
"Rodriguez2003","Leaf area"," Leaf area was determined with a Li-Cor 3100 measuring device, using a subsample of 12 needles which were subsequently dried at 100oC for 24 hours and weighed with a precision of 0.01 g. The sum of the sections constitutes the leaf area of the tree (projected leaf area)."
"Rodriguez2003","Stem cross sectional area"," Disks of 2 to 3 cm of width at diameter at breast height (Dbh), and after that every 3.5 m, include a disk at the base of the live crown. The disks were photographed with a digital camera in the laboratory. Each disk was placed on an aluminum platform, where the digital camera was mounted. Measurements of hertwood and total area were made using digital photographs and georeferred using Arcinfo 7.2 NT software. This allowed to estimate the sapwood area at Dbh level by difference."
"Rodriguez2003","Height"," Felling trees were measured directely using instrument."
"Rodriguez2003","Crown area"," Before felling crown projection in all four cardinal direction  were measured. Crown areas were estimated assuming a conic shape of the crowns with a height H and a radius equal to the mean crown radius where the crown was widest."
"Rodriguez2003","Biomass"," Dry mass of the crown was estimated from the proportions of dry mass of each crown component and the total green mass of each section measured of the crown in the field. Wood and bark biomass as the product between the volume and anhydride density. Root biomass as the product of the potentially available areas for root mass and soil area samples. The sum of all trees components gives the dry mass of the tree."
"Rodriguez2003","Traits"," Silvopastoral in cluster and bands and 185 trees/ha. Forestry plantations at 490 trees/ha."
"Rodriguez2003","Growth environment"," Field experimental."
"Rodriguez2003","Other variables"," Prairies"
"Rodriguez2003","Year collected","2002"
"Roeh1997","Sampling strategy"," From each plot, nine to ten undamaged trees were selected for intensive crown measurements."
"Roeh1997","Leaf area"," Unknown"
"Roeh1997","Stem cross sectional area","From diameter at breast height to the nearest 1mm"
"Roeh1997","Height","Total tree height to the nearest 0.02m"
"Roeh1997","Biomass","Unknown"
"Roeh1997","Traits","Unknown"
"Roeh1997","Growth environment","Managed plantations established by the Stand Management Cooperative."
"Roth2007","Sampling strategy"," Within each harvest year, sample trees free of damage and disease, were selected at random from across the diameter distribution representative of each treatment and site. Prior to harvest, an inventory was completed on each sample tree consisting of HT, DBH, diameter at ground line, and crown width at the widest point parallel to, and perpendicular to the planting bed. Sample trees were felled at ground line using a hand saw, placed on a tarp and separated into four aboveground components: foliage, branches, stem and dead branches."
"Roth2007","Leaf area"," In the age 2 data, we used the foliage biomass data and specific needle area data to calculate all sided leaf area/tree.   In the paper we calculated leaf area at the stand level using litterfall data and SNA."
"Roth2007","Height","Total height (HT) was measured on every tree at ages 2 and 3, but was limited to a representative 20% sub-sample at age 5. Individual tree HT at age 5 was determined from site and treatment specific HT versus DBH relationships developed from this sub-sample."
"Roth2007","Biomass","The total fresh weight of each component was measured separately in the field. The fraction of bark to stem components was estimated from 6 cm disks of wood, cut from the base of each ofthree equally spaced stem segments along the full length of the stem. Bark was separated from each disk and the fresh weight of each was determined in the field. Tissue samples were transported from the field and dried to a constant weight at 70o C. Litter was almost exclusively pine foliage (> 98%) and was separated from other pine material (branch, bark, twigs and cones), oven dried at 70C and weighed to the nearest 0.1 g."
"Roth2007","Traits","Needlefall (NF) was collected an average of six times per year over a three year period (June 2003 to February 2007) to estimate leaf area index (projected LAI). Within each family measurement plot, six circular littertraps (1.0 m2 each) were deployed, with half randomly positioned along the bed and inner bed positions. Specific leaf area (m2 g-1) was determined using the volume displacement method (Johnson, 1984) on foliar samples that were collected from individual families in the fall of 2003"
"Roth2007","Other variables","Annual measurements of DBH were made at ages 2, 3, and 5 years on all trees in the measurement plots."
"Saito1981","Sampling strategy"," Sample trees were felled in August 1976 near the 1-ha permanent plot in a natural Cryptomeria japonica forest (760 m a.s.l.) located in the compartment 6, sub-compartment 1 of the Sado Experimental Forest of Niigata University, Japan. Trees were selected to cover various size classes. Tree age was estimated from the number of annual rings at the height of tree cut. Sample trees were treated with the stratified clip technique by cutting them into parts contained in horizontal layers of 1 m depth. Tree segment in each layer was divided into stem, branches, and needles. Green branches are all categorized as needles."
"Saito1981","Stem cross sectional area","Estimated from stem diameter."
"Saito1981","Height","Method not reported."
"Saito1981","Biomass","Measured fresh mass was converted to dry mass from the ratio of dry to fresh mass. The ratio was estimated from subsamples taken at the base of stem segment, or subsample of ca. 2 kg for branches and needles. Subsamples were weighted for their fresh mass, oven-dried at 80 deg C for 24-72 h, and weighted for dry mass."
"Saito1981","Other variables","M.I. Ishihara, H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Saito (1981). Based on this reference, meta data was also created by M.I. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
